Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
133,Eric Gordon,34,2TM,SG,69,58,1965,7.2,16.2,0.446,3.3,8.8,0.371,3.9,7.3,0.535,0.547,3.5,4.3,0.821,0.4,2.9,3.3,4.5,1.1,0.6,2.6,1.9,21.2,115,122,,gordoer01,28.478,Guard,0.543,0.265,0.586,1.731,0.179,1.172,1.7000000000000002,0.121
134,Eric Gordon,34,HOU,SG,47,47,1418,7.2,16.3,0.439,2.9,8.4,0.347,4.3,8.0,0.536,0.528,3.8,4.6,0.815,0.4,2.9,3.3,4.6,1.0,0.6,2.8,1.5,21.0,113,123,,gordoer01,30.17,Guard,0.515,0.282,0.573,1.643,0.179,1.146,1.6,0.121
135,Eric Gordon,34,LAC,SG,22,11,547,7.3,15.7,0.463,4.2,9.9,0.423,3.0,5.7,0.531,0.597,2.9,3.4,0.842,0.4,3.0,3.3,4.2,1.2,0.7,1.9,3.0,21.6,122,118,,gordoer01,24.864,Guard,0.631,0.217,0.628,2.211,0.18,1.256,1.9,0.118
136,Kevon Looney,26,GSW,C,82,70,1958,5.8,9.3,0.63,0.0,0.0,0.0,5.8,9.2,0.632,0.63,2.3,3.7,0.606,6.6,11.7,18.3,5.0,1.3,1.2,1.1,5.4,13.9,147,111,,looneke01,23.878,Center,0.0,0.398,0.636,4.545,0.294,1.272,2.5,0.361
137,Kyle Anderson,29,MIN,PF,69,46,1957,6.1,12.0,0.509,1.0,2.5,0.41,5.1,9.5,0.536,0.553,2.4,3.3,0.735,1.6,7.3,8.9,8.1,1.9,1.5,2.5,3.5,15.7,120,112,,anderky01,28.362,Forward,0.208,0.275,0.584,3.24,0.337,1.167,3.4,0.18
138,Marcus Smart,28,BOS,PG,61,61,1957,6.2,15.0,0.415,2.9,8.5,0.336,3.4,6.5,0.519,0.511,2.2,2.9,0.746,1.1,3.6,4.8,9.5,2.3,0.6,3.6,4.3,17.5,111,112,,smartma01,32.082,Guard,0.567,0.193,0.538,2.639,0.323,1.075,2.9,0.234
139,LeBron James,38,LAL,PF,55,54,1954,14.8,29.6,0.5,2.9,9.1,0.321,11.8,20.4,0.58,0.549,6.1,7.9,0.768,1.6,9.5,11.1,9.1,1.2,0.8,4.3,2.1,38.6,114,113,ASNBA3,jamesle01,35.527,Forward,0.307,0.267,0.584,2.116,0.196,1.167,2.0,0.144
140,Herbert Jones,24,NOP,PF,66,66,1951,5.8,12.4,0.469,1.4,4.1,0.335,4.4,8.3,0.536,0.525,3.1,4.0,0.764,2.4,4.3,6.7,4.0,2.6,1.0,2.2,5.2,16.1,115,112,,joneshe01,29.561,Forward,0.331,0.323,0.569,1.818,0.196,1.137,3.6,0.358
141,Torrey Craig,32,PHO,PF,79,60,1948,5.7,12.5,0.456,2.5,6.3,0.395,3.2,6.2,0.518,0.556,0.8,1.1,0.711,3.6,7.0,10.7,2.9,1.3,1.6,1.8,4.5,14.8,116,113,,craigto01,24.658,Forward,0.504,0.088,0.57,1.611,0.164,1.14,2.9000000000000004,0.34
142,Ja Morant,23,MEM,PG,61,59,1948,13.8,29.6,0.466,2.2,7.3,0.307,11.6,22.3,0.519,0.504,9.1,12.1,0.748,1.5,7.2,8.7,12.0,1.6,0.4,5.0,2.4,38.9,114,112,MVP-12AS,moranja01,31.934,Guard,0.247,0.409,0.557,2.4,0.231,1.114,2.0,0.172
143,Kelly Olynyk,31,UTA,C,68,68,1942,6.8,13.7,0.499,2.3,5.8,0.394,4.6,7.9,0.576,0.583,4.9,5.7,0.853,2.0,8.3,10.3,6.2,1.5,0.9,4.1,5.7,20.8,118,115,,olynyke01,28.559,Center,0.423,0.416,0.642,1.512,0.234,1.283,2.4,0.194
144,Stephen Curry,34,GSW,PG,56,56,1941,13.6,27.6,0.493,6.6,15.5,0.427,7.0,12.0,0.579,0.614,6.3,6.8,0.915,0.9,7.3,8.3,8.6,1.3,0.5,4.4,2.8,40.1,123,115,MVP-9CPOY-9ASNBA2,curryst01,34.661,Guard,0.562,0.246,0.655,1.955,0.197,1.311,1.8,0.11
145,Tyus Jones,26,MEM,PG,80,22,1940,7.6,17.4,0.438,3.0,8.0,0.371,4.7,9.4,0.495,0.523,2.0,2.4,0.8,0.7,4.2,4.9,10.2,2.0,0.1,1.8,0.8,20.1,122,113,6MOY-6,jonesty01,24.25,Guard,0.46,0.138,0.545,5.667,0.335,1.089,2.1,0.143
146,Paul George,32,LAC,SF,56,56,1939,11.6,25.4,0.457,4.0,10.8,0.371,7.6,14.6,0.521,0.536,6.5,7.4,0.871,1.1,7.5,8.6,7.3,2.1,0.5,4.4,4.0,33.7,113,113,AS,georgpa01,34.625,Forward,0.425,0.291,0.588,1.659,0.181,1.176,2.6,0.128
147,Al Horford,36,BOS,C,63,63,1922,5.8,12.1,0.476,3.7,8.2,0.446,2.1,3.9,0.539,0.627,0.4,0.5,0.714,1.9,8.0,9.9,4.8,0.8,1.5,0.9,3.1,15.6,133,112,,horfoal01,30.508,Center,0.678,0.041,0.633,5.333,0.266,1.266,2.3,0.192
148,P.J. Tucker,37,PHI,PF,75,75,1920,2.5,5.8,0.427,1.4,3.6,0.393,1.1,2.2,0.482,0.549,0.5,0.6,0.826,2.5,5.2,7.6,1.5,1.0,0.4,1.1,4.6,6.9,117,116,,tuckepj01,25.6,Forward,0.621,0.103,0.569,1.364,0.173,1.138,1.4,0.325
